time, co2(ppm), temperature(C), rel_humidity(percent)
01-09-2023 13:13:08, 812, 20.06, 70.28
01-09-2023 13:13:13, 812, 20.08, 70.27
01-09-2023 13:13:18, 812, 20.06, 70.24
01-09-2023 13:13:23, 813, 20.09, 70.25
01-09-2023 13:13:28, 815, 20.08, 70.29
01-09-2023 13:13:33, 815, 20.07, 70.28
01-09-2023 13:13:38, 816, 20.08, 70.27
01-09-2023 13:13:43, 816, 20.07, 70.27
01-09-2023 13:13:48, 816, 20.09, 70.24
01-09-2023 13:13:53, 816, 20.06, 70.28
01-09-2023 13:13:58, 818, 20.07, 70.29
01-09-2023 13:14:03, 818, 20.07, 70.23
01-09-2023 13:14:08, 817, 20.08, 70.26
01-09-2023 13:14:13, 817, 20.08, 70.27
01-09-2023 13:14:18, 817, 20.08, 70.27
01-09-2023 13:14:23, 818, 20.08, 70.27
01-09-2023 13:14:28, 818, 20.08, 70.31
01-09-2023 13:14:33, 817, 20.09, 70.25
01-09-2023 13:14:38, 817, 20.07, 70.25
01-09-2023 13:14:43, 817, 20.08, 70.24
01-09-2023 13:14:48, 816, 20.07, 70.24
01-09-2023 13:14:53, 817, 20.06, 70.25
01-09-2023 13:14:58, 816, 20.06, 70.23
01-09-2023 13:15:03, 815, 20.09, 70.25
01-09-2023 13:15:08, 816, 20.09, 70.24
01-09-2023 13:15:13, 815, 20.09, 70.28
01-09-2023 13:15:18, 816, 20.07, 70.22
01-09-2023 13:15:23, 816, 20.09, 70.23
01-09-2023 13:15:28, 816, 20.08, 70.20
01-09-2023 13:15:33, 816, 20.10, 70.22
01-09-2023 13:15:38, 816, 20.09, 70.19
